Player,Pos,Age,Tm,G,FG%,TRB,AST,PTS,STL,BLK
Luka Don?i?,PG,24,DAL,70,0.487,9.2,9.8,33.9,1.4,0.5
Giannis Antetokounmpo,PF,29,MIL,73,0.611,11.5,6.5,30.4,1.2,1.1
Shai Gilgeous-Alexander,PG,25,OKC,75,0.535,5.5,6.2,30.1,2.0,0.9
Jalen Brunson,PG,27,NYK,77,0.479,3.6,6.7,28.7,0.9,0.2
Kevin Durant,PF,35,PHO,75,0.523,6.6,5.0,27.1,0.9,1.2
Devin Booker,PG,27,PHO,68,0.492,4.5,6.9,27.1,0.9,0.4
Jayson Tatum,PF,25,BOS,74,0.471,8.1,4.9,26.9,1.0,0.6
De'Aaron Fox,PG,26,SAC,74,0.465,4.6,5.6,26.6,2.0,0.4
Nikola Joki?,C,28,DEN,79,0.583,12.4,9.0,26.4,1.4,0.9
Stephen Curry,PG,35,GSW,74,0.45,4.5,5.1,26.4,0.7,0.4
Tyrese Maxey,PG,23,PHI,70,0.45,3.7,6.2,25.9,1.0,0.5
Anthony Edwards,SG,22,MIN,79,0.461,5.4,5.1,25.9,1.3,0.5
LeBron James,PF,39,LAL,71,0.54,7.3,8.3,25.7,1.3,0.5
Anthony Davis,C,30,LAL,76,0.556,12.6,3.5,24.7,1.2,2.3
Damian Lillard,PG,33,MIL,73,0.424,4.4,7.0,24.3,1.0,0.2
DeMar DeRozan,SF,34,CHI,79,0.48,4.3,5.3,24.0,1.1,0.6
Kawhi Leonard,SF,32,LAC,68,0.525,6.1,3.6,23.7,1.6,0.9
Jaylen Brown,SF,27,BOS,70,0.499,5.5,3.6,23.0,1.2,0.5
Zion Williamson,PF,23,NOP,70,0.57,5.8,5.0,22.9,1.1,0.7
Cade Cunningham,PG,22,DET,62,0.449,4.3,7.5,22.7,0.9,0.4
Paul George,PF,33,LAC,74,0.471,5.2,3.5,22.6,1.5,0.5
Paolo Banchero,PF,21,ORL,80,0.455,6.9,5.4,22.6,0.9,0.6
Cam Thomas,SG,22,BRK,66,0.442,3.2,2.9,22.5,0.7,0.2
Dejounte Murray,SG,27,ATL,78,0.459,5.3,6.4,22.5,1.4,0.3
Jaren Jackson Jr.,C,24,MEM,66,0.444,5.5,2.3,22.5,1.2,1.6
Kyle Kuzma,PF,28,WAS,70,0.463,6.6,4.2,22.2,0.5,0.7
Karl-Anthony Towns,PF,28,MIN,62,0.504,8.3,3.0,21.8,0.7,0.7
Pascal Siakam,PF,29,TOT,80,0.536,7.1,4.3,21.7,0.8,0.3
Victor Wembanyama,C,20,SAS,71,0.465,10.6,3.9,21.4,1.2,3.6
Alperen Sengun,C,21,HOU,63,0.537,9.3,5.0,21.1,1.2,0.7
Miles Bridges,SF,25,CHO,69,0.462,7.3,3.3,21.0,0.9,0.5
Jimmy Butler,PF,34,MIA,60,0.499,5.3,5.0,20.8,1.3,0.3
Brandon Ingram,SF,26,NOP,64,0.492,5.1,5.7,20.8,0.8,0.6
Tyrese Haliburton,PG,23,IND,69,0.477,3.9,10.9,20.1,1.2,0.7
CJ McCollum,PG,32,NOP,66,0.459,4.3,4.6,20.0,0.9,0.6
Scottie Barnes,SG,22,TOR,60,0.475,8.2,6.1,19.9,1.3,1.5
Terry Rozier,PG-SG,29,TOT,61,0.443,4.0,5.6,19.8,1.0,0.3
Franz Wagner,SF,22,ORL,72,0.482,5.3,3.7,19.7,1.1,0.4
Mikal Bridges,SF,27,BRK,82,0.436,4.5,3.6,19.6,1.0,0.4
Jalen Green,SG,21,HOU,82,0.423,5.2,3.5,19.6,0.8,0.3
Devin Vassell,SG,23,SAS,68,0.472,3.8,4.1,19.5,1.1,0.3
Domantas Sabonis,C,27,SAC,82,0.594,13.7,8.2,19.4,0.9,0.6
Bam Adebayo,C,26,MIA,71,0.521,10.4,3.9,19.3,1.1,0.9
Jalen Williams,PF,22,OKC,71,0.54,4.0,4.5,19.1,1.1,0.6
Coby White,PG,23,CHI,79,0.447,4.5,5.1,19.1,0.7,0.2
Collin Sexton,SG,25,UTA,78,0.487,2.6,4.9,18.7,0.8,0.2
D'Angelo Russell,PG,27,LAL,76,0.456,3.1,6.3,18.0,0.9,0.5
Nikola Vu?evi?,C,33,CHI,76,0.484,10.5,3.3,18.0,0.7,0.8
Klay Thompson,SF,33,GSW,77,0.432,3.3,2.3,17.9,0.6,0.5
Jordan Poole,SG,24,WAS,78,0.413,2.7,4.4,17.4,1.1,0.3
Fred VanVleet,PG,29,HOU,73,0.416,3.8,8.1,17.4,1.4,0.8
Brandon Miller,SF,21,CHO,74,0.44,4.3,2.4,17.3,0.9,0.6
Tobias Harris,PF,31,PHI,70,0.487,6.5,3.1,17.2,1.0,0.7
Myles Turner,C,27,IND,77,0.524,6.9,1.3,17.1,0.5,1.9
Immanuel Quickley,PG-SG,24,TOT,68,0.434,3.8,4.9,17.0,0.7,0.1
Bogdan Bogdanovi?,SG,31,ATL,79,0.428,3.4,3.1,16.9,1.2,0.3
Michael Porter Jr.,SF,25,DEN,81,0.484,7.0,1.5,16.7,0.5,0.7
James Harden,PG,34,LAC,72,0.428,5.1,8.5,16.6,1.1,0.8
Jarrett Allen,C,25,CLE,77,0.634,10.5,2.7,16.5,0.7,1.1
Chet Holmgren,C,21,OKC,82,0.53,7.9,2.4,16.5,0.6,2.3
Jonathan Kuminga,PF,21,GSW,74,0.529,4.8,2.2,16.1,0.7,0.5
Austin Reaves,SG,25,LAL,82,0.486,4.3,5.5,15.9,0.8,0.3
Keldon Johnson,SF,24,SAS,69,0.454,5.5,2.8,15.7,0.7,0.3
Donte DiVincenzo,SG,27,NYK,81,0.443,3.7,2.7,15.5,1.3,0.4
Jaden Ivey,SG,21,DET,77,0.429,3.4,3.8,15.4,0.7,0.5
Kelly Oubre Jr.,SF,28,PHI,68,0.441,5.0,1.5,15.4,1.1,0.7
Malik Monk,SG,25,SAC,72,0.443,2.9,5.1,15.4,0.6,0.5
Keegan Murray,SF,23,SAC,77,0.454,5.5,1.7,15.2,1.0,0.8
Derrick White,SG,29,BOS,73,0.461,4.2,5.2,15.2,1.0,1.2
John Collins,PF,26,UTA,68,0.532,8.5,1.1,15.1,0.6,0.9
